Title,Location,Rent,Area,Furnishing,Bathrooms
"3 BHK Flat for Rent in Prestige Estates Shantiniketan, Whitefield, Bangalore",,"₹85,000",Super Area2072 sqft,3,3.0
"2 BHK Flat for Rent in Vizipa Optima, Radha Reddy Layout, Bangalore",,"₹50,000",Carpet Area900 sqft,2,2.0
"3 BHK Flat for Rent in Prestige Sunrise Park, Electronic City, Bangalore",,"₹55,000",Carpet Area1257 sqft,3,3.0
"3 BHK Flat for Rent in Nagarjuna Maple Heights, Mahadevapura, Bangalore",,"₹70,000",Carpet Area1420 sqft,3,3.0
3 BHK House for Rent in ITI Layout HSR Layout Bangalore,,"₹55,000",Carpet Area1200 sqft,3,3.0
"2 BHK Flat for Rent in Brigade Buena Vista, Budigere Cross, Bangalore",,"₹35,000",Carpet Area798 sqft,2,2.0
"4 BHK Flat for Rent in Maia Pelican Grove, Jakkuru Layout, Jakkuru, Bangalore",,₹3.3 Lac,Carpet Area4200 sqft,5,5.0
"2 BHK Flat for Rent in Mantri Serenity, Kanakapura Road, Bangalore",,"₹45,000",Carpet Area1550 sqft,2,2.0
"3 BHK Flat for Rent in Cattleya Sriven Nest, Varthur, Bangalore",,₹1.2 Lac,Super Area4000 sqft,3,3.0
3 BHK Villa for Rent in Electronic City Bangalore,,"₹80,000",Super Area3060 sqft,4,4.0
"3 BHK Flat for Rent in Embassy Heaven, RT Nagar, Bangalore",,₹1.1 Lac,Carpet Area1950 sqft,4,4.0
"3 BHK Flat for Rent in Karle Zenith, Hebbal, Bangalore",,₹1 Lac,Super Area2500 sqft,4,4.0
4 BHK Villa for Rent in Devanahalli Bangalore,,₹1.6 Lac,Super Area4100 sqft,4,4.0
"2 BHK Flat for Rent in Brigade El Dorado, Bagalur Main Road, Bangalore",,"₹20,000",Carpet Area600 sqft,2,2.0
"2 BHK Flat for Rent in Gunjur, Bangalore",,"₹45,000",Carpet Area1150 sqft,2,2.0
3 BHK Villa for Rent in Chikkagubbi Bangalore,,₹1.2 Lac,Carpet Area2184 sqft,3,3.0
6 BHK Villa for Rent in Marathahalli Bangalore,,₹1.7 Lac,Carpet Area5000 sqft,5,5.0
"4 BHK Flat for Rent in TATA The Promont, Banashankari, Bangalore",,₹1 Lac,Super Area3024 sqft,4,4.0
"2 BHK Flat for Rent in Pariwar Wise Palm Springs, Haralur Main Road, Bangalore",,"₹45,000",Super Area1075 sqft,2,2.0
4 BHK Villa for Rent in Yelahanka Bangalore,,₹5.5 Lac,Super Area5900 sqft,4,4.0
"3 BHK Flat for Rent in Sobha Silicon Oasis, Hosa Road, off Hosur Road, Bangalore",,"₹70,000",Carpet Area1550 sqft,4,4.0
Office Space for Rent in J P Nagar Bangalore,,₹16.8 Lac,Carpet Area14000 sqft,Bachelors/Family,5.0
"3 BHK Flat for Rent in Godrej Eternity, Kanakapura Road, Bangalore",,"₹45,000",Super Area1700 sqft,3,4.0
"3 BHK Flat for Rent in Shriram Chirping Woods, Sarjapur Road, Bangalore",,"₹70,000",Carpet Area1300 sqft,2,2.0
3 BHK Villa for Rent in Marathahalli Bangalore,,"₹88,000",Carpet Area2000 sqft,4,4.0
"2 BHK Flat for Rent in Padma Residency, Phase 5 JP Nagar, Bangalore",,"₹25,000",Carpet Area980 sqft,2,2.0
"2 BHK Flat for Rent in Akul Residency, Gunjur, Bangalore",,"₹35,000",Super Area1175 sqft,2,2.0
"3 BHK Flat for Rent in Karle Zenith, Hebbal, Bangalore",,₹1 Lac,Super Area2424 sqft,4,4.0
"Studio Apartment for Rent in Banaswadi, Bangalore",,"₹26,000",Carpet Area180 sqft,1,1.0
"3 BHK Flat for Rent in Prestige Jindal City, Tumkur Road, Bangalore",,"₹44,000",Carpet Area1187 sqft,3,3.0
"4 BHK Flat for Rent in Sobha Windsor, Immadihalli, Whitefield, Bangalore",,"₹90,000",Carpet Area1700 sqft,4,4.0
2 BHK Flat for Rent in Bangalore,,"₹35,000",Carpet Area1100 sqft,2,2.0
"4 BHK Flat for Rent in Indiranagar, Bangalore",,₹2.5 Lac,Carpet Area4100 sqft,4,4.0
"3 BHK Flat for Rent in Kalena Agrahara, Bangalore",,"₹34,000",Carpet Area1150 sqft,3,3.0
"1 BHK Flat for Rent in Stage 1 BTM Layout, Bangalore",,"₹26,000",Carpet Area500 sqft,1,1.0
"3 BHK Flat for Rent in Nisarga Keerthana, Hosur Road, Bangalore",,"₹17,999",Super Area1411 sqft,3,4.0
"3 BHK Flat for Rent in Peninsula Pinnacle, Confident Rigel Althena, Bangalore",,"₹25,000",Carpet Area1120 sqft,2,2.0
"3 BHK Flat for Rent in Brigade Cornerstone Utopia, Varthur, Bangalore",,"₹70,000",Carpet Area1047 sqft,3,3.0
Office Space for Rent in Block 6th Koramangala Bangalore,,₹3.1 Lac,Carpet Area3100 sqft,Bachelors/Family,5.0
