Title,Location,Rent,Bathrooms,BHK,Area
"3 BHK Flat for Rent in Brigade Cornerstone Utopia, Varthur, Bangalore","Brigade Cornerstone Utopia, Varthur",75000,3.0,3.0,1200
"3 BHK Flat for Rent in Karle Zenith, Hebbal, Bangalore","Karle Zenith, Hebbal",70000,4.0,3.0,2618
"1 BHK Flat for Rent in Phase 2 Electronic City, Bangalore",Phase 2 Electronic City,22000,1.0,1.0,650
"3 BHK Flat for Rent in Godrej Air, Hoodi, Hoodi, Bangalore","Godrej Air, Hoodi, Hoodi",80000,3.0,3.0,1400
"3 BHK Flat for Rent in Sobha Eternia, Haralur, Bangalore","Sobha Eternia, Haralur",65000,3.0,3.0,1750
"2 BHK Flat for Rent in Ankuraa Lotus, Whitefield, Bangalore","Ankuraa Lotus, Whitefield",49000,2.0,2.0,850
"3 BHK Flat for Rent in 4th T Block East Jayanagar, Bangalore",4th T Block East Jayanagar,55000,2.0,3.0,1500
"4 BHK Flat for Rent in Whitefield, Bangalore",Whitefield,120000,4.0,4.0,3000
"3 BHK Flat for Rent in Brigade Meadows, Kanakapura Road, Bangalore","Brigade Meadows, Kanakapura Road",23000,3.0,3.0,1000
"2 BHK Flat for Rent in Bren Champions Square, Sarjapur Road, Bangalore","Bren Champions Square, Sarjapur Road",48000,2.0,2.0,1261
"1 BHK Flat for Rent in Prestige Primrose Hills, Stage 6th Banashankari, Bangalore","Prestige Primrose Hills, Stage 6th Banashankari",22000,1.0,1.0,589
"2 BHK Flat for Rent in Sumadhura Sushantham, Vidyaranyapura, Bangalore","Sumadhura Sushantham, Vidyaranyapura",45000,2.0,2.0,1345
"3 BHK Villa for Rent in Doopanahalli, Indira nagar Bangalore","Doopanahalli, Indira nagar",100000,4.0,3.0,1800
"3 BHK Flat for Rent in Adarsh Palm Retreat Tower I, Adarsh Palm Retreat, Bellandur, Bangalore","Adarsh Palm Retreat Tower I, Adarsh Palm Retreat, Bellandur",75000,3.0,3.0,1850
"2 BHK Flat for Rent in SJR Watermark, Sarjapur Road, Bangalore","SJR Watermark, Sarjapur Road",60000,2.0,2.0,1450
"1 BHK Flat for Rent in Sector 3 HSR Layout, Bangalore",Sector 3 HSR Layout,27000,1.0,1.0,700
"2 BHK Flat for Rent in Phase 7 JP Nagar, Bangalore",Phase 7 JP Nagar,30000,2.0,2.0,1200
"2 BHK Flat for Rent in Stage 2 Indiranagar, Bangalore",Stage 2 Indiranagar,40000,2.0,2.0,1050
"1 BHK Flat for Rent in Aashiyana Apartment, Sun City Layout, Bangalore","Aashiyana Apartment, Sun City Layout",18000,2.0,1.0,768
"3 BHK Flat for Rent in Srinivasa Signature, Sarjapur Road, Bangalore","Srinivasa Signature, Sarjapur Road",65000,3.0,3.0,1700
"2 BHK Flat for Rent in Balagere, Bangalore",Balagere,43000,2.0,2.0,885
"1 BHK Flat for Rent in Prestige Primrose Hills, Stage 6th Banashankari, Bangalore","Prestige Primrose Hills, Stage 6th Banashankari",22000,1.0,1.0,550
2 BHK House for Rent in Hsr Layout Bangalore,Hsr Layout,25000,2.0,2.0,800
"3 BHK Flat for Rent in Incor Carmel Heights, Whitefield, Bangalore","Incor Carmel Heights, Whitefield",70000,3.0,3.0,1440
2 BHK Flat for Rent in Bangalore,,39999,3.0,2.0,1200
"3 BHK Flat for Rent in Stage 2 Indiranagar, Bangalore",Stage 2 Indiranagar,70000,4.0,3.0,1800
2 BHK House for Rent in Basaveshwar Nagar Bangalore,Basaveshwar Nagar,38000,2.0,2.0,1650
4 BHK Villa for Rent in Seegehalli Bangalore,Seegehalli,130000,4.0,4.0,2250
3 BHK House for Rent in Block 1st Koramangala Bangalore,Block 1st Koramangala,100000,3.0,3.0,1800
"2 BHK Flat for Rent in Jain Heights, Sarjapur Road, Bangalore","Jain Heights, Sarjapur Road",50000,2.0,2.0,1200
3 BHK Villa for Rent in Sarjapura Bangalore,Sarjapura,35000,3.0,3.0,1550
"3 BHK Flat for Rent in Godrej Air, Industrial Area Hoodi, Bangalore","Godrej Air, Industrial Area Hoodi",70001,2.0,3.0,1088
"3 BHK Flat for Rent in Shriram Chirping Woods, Sarjapur Road, Bangalore","Shriram Chirping Woods, Sarjapur Road",72000,3.0,3.0,1700
